Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7821949_1	75.27639093430275	49.0	75.49987039648762	76	20.0	29659690.0
SRR7821949_2	65.13611355585387	49.0	75.49558120803016	76	20.0	29659690.0
SRR7821950_1	73.57740267097476	50.0	75.49457255081204	76	20.0	22228490.0
SRR7821950_2	62.41169881629195	50.0	75.49081687510038	76	20.0	22228490.0
SRR7821951_1	72.10532443494756	49.0	75.4961443771264	76	20.0	32968214.0
SRR7821951_2	61.53520007768915	50.0	75.49120170719591	76	20.0	32968214.0
SRR7821952_1	68.98019261072804	49.0	75.49683496723476	76	20.0	22952527.0
SRR7821952_2	57.65752666788113	49.0	75.48848717180465	76	20.0	22952527.0
SRR7821953_1	70.81720767250376	49.0	75.50059697644177	76	20.0	21144888.0
SRR7821953_2	60.812882821189106	49.0	75.49139352263299	76	20.0	21144888.0
SRR7821954_1	85.95084250411759	51.0	75.52313759912191	76	30.0	26417218.0
SRR7821954_2	80.19262777071413	51.0	75.51571051122794	76	30.0	26417218.0
SRR7821955_1	91.825213208106	51.0	75.51491836629384	76	20.0	34204315.0
SRR7821955_2	85.67713666188891	51.0	75.50099795888326	76	20.0	34204315.0
SRR7821956_1	91.8293517368834	51.0	75.5520515521979	76	40.0	31241345.0
SRR7821956_2	87.30836331336474	51.0	75.54285374077205	76	40.0	31241345.0
SRR7821957_1	86.55946830598292	51.0	75.5235275911585	76	20.0	27431070.0
SRR7821957_2	79.87750485106841	51.0	75.51354832312411	76	20.0	27431070.0
SRR7821968_1	88.32431909615892	49.0	75.53330530830205	76	20.0	30774869.0
SRR7821968_2	83.55360410628244	49.0	75.51459695896675	76	20.0	30774869.0
SRR7821969_1	86.54816595850305	52.0	75.51328490418177	76	30.0	18844848.0
SRR7821969_2	79.38781279490394	53.0	75.49775317901211	76	30.0	18844848.0
SRR7821970_1	88.72374745520469	50.0	75.52338323890592	76	20.0	25454472.0
SRR7821970_2	84.6897531446036	50.0	75.5154051123119	76	20.0	25454472.0
SRR7821971_1	90.9038558800984	51.0	75.51487355188178	76	20.0	25319238.0
SRR7821971_2	84.27432300937917	52.0	75.50332818072961	76	20.0	25319238.0
SRR7821972_1	82.3581930229699	49.0	75.51802449972084	76	20.0	23640351.0
SRR7821972_2	76.82756744463558	49.0	75.50695770126256	76	20.0	23640351.0
SRR7821973_1	84.58531288867273	50.0	75.50677173932583	76	20.0	23531399.0
SRR7821973_2	79.20052664049585	50.0	75.49630806056197	76	20.0	23531399.0
