Module	Section	Sample Name	Source
FastQC	all_sections	SRR7821956_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821956_2_fastqc.zip
FastQC	all_sections	SRR7821970_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821970_2_fastqc.zip
FastQC	all_sections	SRR7821954_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821954_1_fastqc.zip
FastQC	all_sections	SRR7821952_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821952_2_fastqc.zip
FastQC	all_sections	SRR7821971_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821971_2_fastqc.zip
FastQC	all_sections	SRR7821953_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821953_1_fastqc.zip
FastQC	all_sections	SRR7821955_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821955_1_fastqc.zip
FastQC	all_sections	SRR7821972_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821972_2_fastqc.zip
FastQC	all_sections	SRR7821949_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821949_1_fastqc.zip
FastQC	all_sections	SRR7821952_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821952_1_fastqc.zip
FastQC	all_sections	SRR7821957_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821957_1_fastqc.zip
FastQC	all_sections	SRR7821951_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821951_2_fastqc.zip
FastQC	all_sections	SRR7821949_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821949_2_fastqc.zip
FastQC	all_sections	SRR7821970_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821970_1_fastqc.zip
FastQC	all_sections	SRR7821950_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821950_1_fastqc.zip
FastQC	all_sections	SRR7821969_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821969_2_fastqc.zip
FastQC	all_sections	SRR7821971_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821971_1_fastqc.zip
FastQC	all_sections	SRR7821957_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821957_2_fastqc.zip
FastQC	all_sections	SRR7821953_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821953_2_fastqc.zip
FastQC	all_sections	SRR7821973_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821973_1_fastqc.zip
FastQC	all_sections	SRR7821968_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821968_2_fastqc.zip
FastQC	all_sections	SRR7821968_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821968_1_fastqc.zip
FastQC	all_sections	SRR7821951_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821951_1_fastqc.zip
FastQC	all_sections	SRR7821954_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821954_2_fastqc.zip
FastQC	all_sections	SRR7821956_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821956_1_fastqc.zip
FastQC	all_sections	SRR7821950_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821950_2_fastqc.zip
FastQC	all_sections	SRR7821969_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821969_1_fastqc.zip
FastQC	all_sections	SRR7821955_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821955_2_fastqc.zip
FastQC	all_sections	SRR7821973_2	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821973_2_fastqc.zip
FastQC	all_sections	SRR7821972_1	/data/users/apiatkowska/RNAseq/Step_2_fastQC/fastQC_results/SRR7821972_1_fastqc.zip
