"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000039748",123.140879886055,-1.2498724772298,0.51229318037849,-2.43976013170111,0.0146970170212741,0.0449922038693502
"ENSMUSG00000038702",70.3584910717421,1.09060207765975,0.40379041928374,2.70091122913293,0.00691497923360595,0.0243216859480747
"ENSMUSG00000025911",52.4087323738509,2.67562011425234,0.84528191247087,3.1653582961821,0.00154892087463485,0.00704227864124082
"ENSMUSG00000026483",2886.99654468762,-1.21135400520518,0.160360198806859,-7.55395674374388,4.22230460088136e-14,1.70200603383936e-12
"ENSMUSG00000026235",49.8878314665504,3.68150825675296,1.06640624395403,3.45225684641778,0.000555918272241288,0.00295128462860944
"ENSMUSG00000056870",10.392214852321,7.23107215661759,1.44030685253965,5.0205080562293,5.15349895421338e-07,6.46605590892309e-06
"ENSMUSG00000026480",8912.18567433665,-1.56865333525436,0.158045548229377,-9.92532439431775,3.23050552670089e-23,3.45520513333586e-21
"ENSMUSG00000038949",3679.28812202999,-1.57259347043255,0.32217899835358,-4.88111726235702,1.05486490633173e-06,1.21221592443909e-05
"ENSMUSG00000026043",411.636941167643,3.21825871869542,0.823232067981521,3.9092970789953,9.2565073101895e-05,0.000630149500480086
"ENSMUSG00000026042",60.2346066214553,3.3520823086637,0.922912850348779,3.63206808464841,0.000281158913229777,0.00165470512273773
"ENSMUSG00000026249",857.144952506094,-2.05161757275107,0.332246489472942,-6.17498645660832,6.61691425620643e-10,1.42175037121078e-08
"ENSMUSG00000026479",103.165310500639,3.95106082463136,0.838851199655383,4.71008544334744,2.47612963390731e-06,2.59982808202353e-05
"ENSMUSG00000042684",75.1820758037549,-2.12122324931691,0.510436098464165,-4.1557077481381,3.24282128217705e-05,0.000253454024539106
"ENSMUSG00000099858",100.553054890696,-1.63639180751579,0.555257231914202,-2.94708778825711,0.00320782120306169,0.0129785166865635
"ENSMUSG00000100213",62.2331833945938,2.81372908676442,0.491408707049926,5.72584296207545,1.02921394134934e-08,1.80656699479008e-07
"ENSMUSG00000042671",24.0635538266965,-3.39303641731497,0.701584961893409,-4.83624450580866,1.32315151707434e-06,1.4879271616072e-05
"ENSMUSG00000026109",13.055197228306,3.22768489480368,1.12491696726477,2.8692650113117,0.00411426920668405,0.0159179884982077
"ENSMUSG00000026475",57.8438081063329,-4.13361578851989,0.861701575511494,-4.79703868020229,1.61028515272708e-06,1.77514943657248e-05
"ENSMUSG00000066800",4696.58862513971,-1.23341681700696,0.20584800359485,-5.99188136618788,2.07427224671264e-09,4.0983055514893e-08
"ENSMUSG00000042641",5.07685685270154,-6.27829615747107,1.83990495378635,-3.41229374079946,0.000644186565433441,0.0033381459296201
"ENSMUSG00000103192",7.87595696262392,-6.37274482958627,1.88492164512329,-3.38090702394657,0.000722469847437392,0.00369212930103649
"ENSMUSG00000048960",52.0789567259783,2.48019200869069,0.896837240859437,2.76548730995373,0.00568378164831073,0.0207242735403936
"ENSMUSG00000067158",109.50579163906,9.99389067188731,1.25127515238,7.98696485971,1.38301493142428e-15,6.71013192030752e-14
"ENSMUSG00000033722",13.789383151657,4.52063528133981,1.45349570263001,3.1101813876436,0.00186972487439719,0.00827416864699675
"ENSMUSG00000018417",134.327771637649,3.46127691394028,0.689612949499187,5.01915881430873,5.18982318993877e-07,6.50146252295037e-06
"ENSMUSG00000026490",373.777410980712,-1.08672321743762,0.363915986804981,-2.98619257422176,0.00282474698072695,0.0116699632774582
"ENSMUSG00000033684",6731.30905563584,-3.17201952724653,0.301776815805176,-10.5111438689656,7.67568444184366e-26,1.00388775050526e-23
"ENSMUSG00000102299",16.34511227098,-7.68990328143079,1.47219873139431,-5.22341387575284,1.75654181753437e-07,2.42519672053728e-06
"ENSMUSG00000016918",110.865562156754,5.49216908920473,0.887793603114357,6.18631297853278,6.1587672975819e-10,1.32924426023595e-08
"ENSMUSG00000025938",40.3799220748278,1.84882049132643,0.637223648316719,2.90136829700255,0.00371536921778881,0.0146454316504648
"ENSMUSG00000103123",4.50886154538688,5.40219975965899,2.01571498744871,2.68004147079174,0.0073613039656972,0.0256144852421202
"ENSMUSG00000045658",1363.0599584157,1.89650575895813,0.340667548390368,5.56702793652932,2.59120865162296e-08,4.22428345200008e-07
"ENSMUSG00000015484",10.993997585074,-7.30074931173173,2.22719594970596,-3.27800044387454,0.00104545231232144,0.00506519224804016
"ENSMUSG00000103495",4.29031434429777,-5.63219833667182,1.86385286032362,-3.02180416521393,0.00251273052450512,0.0105807279216475
